Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Bins,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
311286,2010-12-06 00:00:00,ROOM#2 FOR RENT close Manhattan,Brooklyn,Apartment,K,80,Private room,11213,1,1,2,70,80
311286,2010-12-06 00:00:00,ROOM#5 FOR RENT close to Manhattan,Brooklyn,Apartment,L,85,Private room,11213,1,1,7,70,86
414477,2011-02-28 00:00:00,Single room in stunning brownstone,Brooklyn,Apartment,N,95,Private room,11216,1,1,9,70,98
415502,2011-02-28 00:00:00,Manhattan at its best! Trendy area,Manhattan,Apartment,O,100,Private room,10026,1,1,3,70,100
436365,2011-03-11 00:00:00,Cozy Private Room,Manhattan,Apartment,O,100,Private room,10028,1,1,3,70,100
517285,2011-04-18 00:00:00,Large Loft by Subway,Brooklyn,Apartment,M,90,Private room,11211,1,1,56,70,90
547386,2011-04-30 00:00:00,ocean palace in rockaway,Queens,Apartment,N,95,Private room,11693,1,1,6,70,96
563851,2011-05-07 00:00:00,"Bed, Bike and Large Room",Brooklyn,Apartment,K,80,Private room,11221,1,1,4,70,80
567187,2011-05-08 00:00:00,Sun-Drenched Hamilton Hts Jewel,Manhattan,Apartment,M,90,Private room,10031,1,1,17,70,93
3370169,2012-08-25 00:00:00,One Bedroom with your own bathroom,Brooklyn,Apartment,O,100,Private room,0,1,1,13,70,100
595176,2011-05-16 00:00:00,Big Comfortable plush sofa + Garden,Manhattan,Apartment,K,80,Shared room,10028,1,1,2,70,80
633339,2011-05-27 00:00:00,Amazing location! Cozy apartment!,Manhattan,Apartment,M,90,Shared room,10035,1,1,3,70,93
652546,2011-06-01 00:00:00,"Private, Bright Room In Lefferts",Brooklyn,Apartment,H,65,Private room,11225,1,1,3,70,67
686652,2011-06-10 00:00:00,Private room in airy  Bushwick loft,Brooklyn,Apartment,K,80,Private room,11237,1,1,2,70,80
696306,2011-06-13 00:00:00,Huge Sunny Bedroom in Kensington,Brooklyn,Apartment,L,85,Private room,11218,1,1,27,70,88
731119,2011-06-22 00:00:00,Perfect/Bright Room in Brooklyn,Brooklyn,Apartment,M,90,Private room,11206,1,1,79,70,92
777017,2011-07-04 00:00:00,Stay with Native New Yorker,Manhattan,Apartment,L,85,Private room,10032,1,1,43,70,87
840868,2011-07-19 00:00:00,"Comfort; Next to ""A"" Express Subway",Manhattan,Apartment,N,95,Private room,10033,1,1,12,70,95
845209,2011-07-20 00:00:00,Sunny Studio close to Prospect Park,Brooklyn,Apartment,O,100,Entire home/apt,11218,1,1,1,70,100
940724,2011-08-08 00:00:00,"Cheerful, comfortable room",Manhattan,Apartment,M,90,Private room,10032,1,1,135,70,91
